ip_address,hostname,port,protocol,cvss,severity,solution_type,nvt_name,summary,specific_result,nvt_oid,cves,task_id,task_name,timestamp,result_id,impact,solution,affected_software_os,vulnerability_insight,detection_method,product_detection_result,source_file
192.168.100.4,,,,2.6,Low,Mitigation,TCP timestamps,The remote host implements TCP timestamps and therefore allows to compute the uptime.,It was detected that the host implements RFC1323. The following timestamps were retrieved with a delay of 1 seconds in-between: Packet 1: 3116548054 Packet 2: 3116549169,1.3.6.1.4.1.25623.1.0.80091,,1558934a-7848-450d-bb26-47fd829f4e3c,Application Server,2026-07-29T08:00:14Z,e8198c36-b1d7-486a-a1bc-a53121981fae,A side effect of this feature is that the uptime of the remote host can sometimes be computed.,"To disable TCP timestamps on linux add the line 'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at runtime. To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled' Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled. The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when initiating TCP connections, but use them if the TCP peer that is initiating communication includes them in their synchronize (SYN) segment. See the references for more information.",TCP/IPv4 implementations that implement RFC1323.,"The remote host implements TCP timestamps, as defined by RFC1323.","Special IP packets are forged and sent with a little delay in between to the target IP. The responses are searched for a timestamps. If found, the timestamps are reported. Details: TCP timestamps (OID: 1.3.6.1.4.1.25623.1.0.80091) Version used: $Revision: 14310 $",,application_server_192.168.100.4.csv
192.168.100.5,,,,2.6,Low,Mitigation,TCP timestamps,The remote host implements TCP timestamps and therefore allows to compute the uptime.,It was detected that the host implements RFC1323. The following timestamps were retrieved with a delay of 1 seconds in-between: Packet 1: 1220529697 Packet 2: 1220531614,1.3.6.1.4.1.25623.1.0.80091,,8e143262-4cda-4ab6-b68f-59e274e7ae30,Database Server,2026-07-29T08:28:55Z,539f5ee9-5ef2-446c-93c0-c6b6554b0511,A side effect of this feature is that the uptime of the remote host can sometimes be computed.,"To disable TCP timestamps on linux add the line 'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at runtime. To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled' Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled. The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when initiating TCP connections, but use them if the TCP peer that is initiating communication includes them in their synchronize (SYN) segment. See the references for more information.",TCP/IPv4 implementations that implement RFC1323.,"The remote host implements TCP timestamps, as defined by RFC1323.","Special IP packets are forged and sent with a little delay in between to the target IP. The responses are searched for a timestamps. If found, the timestamps are reported. Details: TCP timestamps (OID: 1.3.6.1.4.1.25623.1.0.80091) Version used: $Revision: 14310 $",,database_server_192.168.100.5.csv
192.168.100.7,,,,10.0,High,Mitigation,OS End Of Life Detection,OS End Of Life Detection The Operating System on the remote host has reached the end of life and should not be used anymore.,"The ""Ubuntu"" Operating System on the remote host has reached the end of life. CPE: cpe:/o:canonical:ubuntu_linux:8.04 Installed version, build or SP: 8.04 EOL date: 2013-05-09 EOL info: https://wiki.ubuntu.com/Releases",1.3.6.1.4.1.25623.1.0.103674,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,afcb6e06-308d-4973-831d-3124dd755b2a,,,,,Details: OS End Of Life Detection (OID: 1.3.6.1.4.1.25623.1.0.103674) Version used: $Revision: 8927 $,Product: cpe:/o:canonical:ubuntu_linux:8.04 Method: OS Detection Consolidation and Reporting (OID: 1.3.6.1.4.1.25623.1.0.105937),metasploitable_192.168.100.7.csv
192.168.100.7,,512,tcp,10.0,High,Mitigation,rexec Passwordless / Unencrypted Cleartext Login,This remote host is running a rexec service.,The rexec service is not allowing connections from this host.,1.3.6.1.4.1.25623.1.0.100111,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,a9f069f7-e163-4ebb-9b97-bd6e04781a48,,Disable the rexec service and use alternatives like SSH instead.,,rexec (Remote Process Execution) has the same kind of functionality that rsh has: you can execute shell commands on a remote computer. The main difference is that rexec authenticate by reading the username and password *unencrypted* from the socket.,Details: rexec Passwordless / Unencrypted Cleartext Login (OID: 1.3.6.1.4.1.25623.1.0.100111) Version used: $Revision: 13541 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,1524,tcp,10.0,High,Workaround,Possible Backdoor: Ingreslock,A backdoor is installed on the remote host,The service is answering to an 'id;' command with the following response: uid=0(root) gid=0(root),1.3.6.1.4.1.25623.1.0.103549,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,17ca4f8e-c0ce-40d6-a607-6b4e88d54b72,Attackers can exploit this issue to execute arbitrary commands in the context of the application. Successful attacks will compromise the affected isystem.,,,,Details: Possible Backdoor: Ingreslock (OID: 1.3.6.1.4.1.25623.1.0.103549) Version used: $Revision: 11327 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,8787,tcp,10.0,High,Mitigation,Distributed Ruby (dRuby/DRb) Multiple Remote Code Execution Vulnerabilities,"Systems using Distributed Ruby (dRuby/DRb), which is available in Ruby versions 1.6 and later, may permit unauthorized systems to execute distributed commands.","The service is running in $SAFE >= 1 mode. However it is still possible to run arbitrary syscall commands on the remote host. Sending an invalid syscall the service returned the following response: Flo:Errno::ENOSYS:bt[""3/usr/lib/ruby/1.8/drb/drb.rb:1555:in `syscall'""0/usr/lib/ruby/1.8/drb/drb.rb:1555:in `send'""4/usr/lib/ruby/1.8/drb/drb.rb:1555:in `__send__'""A/usr/lib/ruby/1.8/drb/drb.rb:1555:in `perform_without_block'""3/usr/lib/ruby/1.8/drb/drb.rb:1515:in `perform'""5/usr/lib/ruby/1.8/drb/drb.rb:1589:in `main_loop'""0/usr/lib/ruby/1.8/drb/drb.rb:1585:in `loop'""5/usr/lib/ruby/1.8/drb/drb.rb:1585:in `main_loop'""1/usr/lib/ruby/1.8/drb/drb.rb:1581:in `start'""5/usr/lib/ruby/1.8/drb/drb.rb:1581:in `main_loop'""//usr/lib/ruby/1.8/drb/drb.rb:1430:in `run'""1/usr/lib/ruby/1.8/drb/drb.rb:1427:in `start'""//usr/lib/ruby/1.8/drb/drb.rb:1427:in `run'""6/usr/lib/ruby/1.8/drb/drb.rb:1347:in `initialize'""//usr/lib/ruby/1.8/drb/drb.rb:1627:in `new'""9/usr/lib/ruby/1.8/drb/drb.rb:1627:in `start_service'""%/usr/sbin/druby_timeserver.rb:12:errnoi+:mesg""Function not implemented",1.3.6.1.4.1.25623.1.0.108010,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,fe99d4d8-ce46-4a06-8898-76579422aa29,"By default, Distributed Ruby does not impose restrictions on allowed hosts or set the $SAFE environment variable to prevent privileged activities. If other controls are not in place, especially if the Distributed Ruby process runs with elevated privileges, an attacker could execute arbitrary system commands or Ruby scripts on the Distributed Ruby server. An attacker may need to know only the URI of the listening Distributed Ruby server to submit Ruby commands.","Administrators of environments that rely on Distributed Ruby should ensure that appropriate controls are in place. Code-level controls may include: - Implementing taint on untrusted input - Setting $SAFE levels appropriately (>=2 is recommended if untrusted hosts are allowed to submit Ruby commands, and >=3 may be appropriate) - Including drb/acl.rb to set ACLEntry to restrict access to trusted hosts",,,Send a crafted command to the service and check for a remote command execution via the instance_eval or syscall requests. Details: Distributed Ruby (dRuby/DRb) Multiple Remote Code Execution Vulnerabilities (OID: 1.3.6.1.4.1.25623.1.0.108010) Version used: $Revision: 12338 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,3306,tcp,9.0,High,Mitigation,MySQL / MariaDB weak password,It was possible to login into the remote MySQL as root using weak credentials.,It was possible to login as root with an empty password.,1.3.6.1.4.1.25623.1.0.103551,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,9f0ba2c1-1b78-42d9-a137-3176a3e73699,,Change the password as soon as possible.,,,Details: MySQL / MariaDB weak password (OID: 1.3.6.1.4.1.25623.1.0.103551) Version used: $Revision: 12175 $,Product: cpe:/a:mysql:mysql:5.0.51a Method: MySQL/MariaDB Detection (OID: 1.3.6.1.4.1.25623.1.0.100152),metasploitable_192.168.100.7.csv
192.168.100.7,,5432,tcp,9.0,High,Mitigation,PostgreSQL weak password,It was possible to login into the remote PostgreSQL as user postgres using weak credentials.,"It was possible to login as user postgres with password ""postgres"".",1.3.6.1.4.1.25623.1.0.103552,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,d8f33558-3e05-4f5b-b0fa-e18523974e26,,Change the password as soon as possible.,,,Details: PostgreSQL weak password (OID: 1.3.6.1.4.1.25623.1.0.103552) Version used: $Revision: 10312 $,Product: cpe:/a:postgresql:postgresql:8.3.1 Method: PostgreSQL Detection (OID: 1.3.6.1.4.1.25623.1.0.100151),metasploitable_192.168.100.7.csv
192.168.100.7,,5900,tcp,9.0,High,Mitigation,VNC Brute Force Login,Try to log in with given passwords via VNC protocol.,It was possible to connect to the VNC server with the password: password,1.3.6.1.4.1.25623.1.0.106056,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,fb246ef0-e2c4-46e0-bbfc-bc79e2072ce1,,Change the password to something hard to guess or enable password protection at all.,,This script tries to authenticate to a VNC server with the passwords set in the password preference. It will also test and report if no authentication / password is required at all. Note: Some VNC servers have a blacklisting scheme that blocks IP addresses after five unsuccessful connection attempts for a period of time. The script will abort the brute force attack if it encounters that it gets blocked. Note as well that passwords can be max. 8 characters long.,Details: VNC Brute Force Login (OID: 1.3.6.1.4.1.25623.1.0.106056) Version used: $Revision: 13328 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,21,tcp,7.5,High,VendorFix,vsftpd Compromised Source Packages Backdoor Vulnerability,vsftpd is prone to a backdoor vulnerability.,Vulnerability was detected according to the Vulnerability Detection Method.,1.3.6.1.4.1.25623.1.0.103185,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,ce2b8e86-3ced-462b-b89e-d59375565eaf,Attackers can exploit this issue to execute arbitrary commands in the context of the application. Successful attacks will compromise the affected application.,The repaired package can be downloaded from the referenced link. Please validate the package with its signature.,The vsftpd 2.3.4 source package is affected.,,Details: vsftpd Compromised Source Packages Backdoor Vulnerability (OID: 1.3.6.1.4.1.25623.1.0.103185) Version used: $Revision: 12076 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,22,tcp,7.5,High,Mitigation,SSH Brute Force Logins With Default Credentials Reporting,It was possible to login into the remote SSH server using default credentials. As the NVT 'SSH Brute Force Logins with default Credentials' (OID: 1.3.6.1.4.1.25623.1.0.108013) might run into a timeout the actual reporting of this vulnerability takes place in this NVT instead. The script preference 'Report timeout' allows you to configure if such an timeout is reported.,It was possible to login with the following credentials <User>:<Password> msfadmin:msfadmin user:user,1.3.6.1.4.1.25623.1.0.103239,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,48a6f23f-a677-46fc-9606-963282adbeea,,Change the password as soon as possible.,,,Try to login with a number of known default credentials via the SSH protocol. Details: SSH Brute Force Logins With Default Credentials Reporting (OID: 1.3.6.1.4.1.25623.1.0.103239) Version used: $Revision: 13568 $,,metasploitable_192.168.100.7.csv
192.168.100.7,,80,tcp,7.5,High,Workaround,phpinfo() output Reporting,Many PHP installation tutorials instruct the user to create a file called phpinfo.php or similar containing the phpinfo() statement. Such a file is often left back in the webserver directory.,The following files are calling the function phpinfo() which disclose potentially sensitive information: http://192.168.100.7/mutillidae/phpinfo.php http://192.168.100.7/phpinfo.php,1.3.6.1.4.1.25623.1.0.11229,,05069678-b69d-4982-8b6d-8a4377db0dff,Metasploitable,2026-07-29T08:43:14Z,6d81c728-75b6-4c97-b1a9-94ea6347ccdf,"Some of the information that can be gathered from this file includes: The username of the user running the PHP process, if it is a sudo user, the IP address of the host, the web server version, the system version (Unix, Linux, Windows, ...), and the root directory of the web server.",Delete the listed files or restrict access to them.,,,Details: phpinfo() output Reporting (OID: 1.3.6.1.4.1.25623.1.0.11229) Version used: $Revision: 11992 $,,metasploitable_192.168.100.7.csv
